select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5111
1 140416 test 130411 0.6769 linear-transformation
1 130411 test 140416 0.661 affine-transformation
1 140416 test 130411 0.6819 affine-transformation
1 130411 test 140416 0.5079 decision-tree
1 140416 test 130411 0.4686 decision-tree
1 130411 test 140416 0.4751 random-forest
1 140416 test 130411 0.4587 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4401
1 130411 test 130411 0.7411 validation
1 140600 test 140600 0.7563 validation
1 130411 test 140600 0.1581 no-mapping
1 140600 test 130411 0.2258 no-mapping
1 130411 test 140600 0.6608 linear-transformation
1 140600 test 130411 0.6703 linear-transformation
1 130411 test 140600 0.673 affine-transformation
1 140600 test 130411 0.6703 affine-transformation
1 130411 test 140600 0.4662 decision-tree
1 140600 test 130411 0.3816 decision-tree
1 130411 test 140600 0.477 random-forest
1 140600 test 130411 0.4251 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5486
1 130411 test 130411 0.8084 validation
1 140829 test 140829 0.771 validation
1 130411 test 140829 0.3171 no-mapping
1 140829 test 130411 0.0259 no-mapping
1 130411 test 140829 0.6525 linear-transformation
1 140829 test 130411 0.688 linear-transformation
1 130411 test 140829 0.6586 affine-transformation
1 140829 test 130411 0.6843 affine-transformation
1 130411 test 140829 0.5018 decision-tree
1 140829 test 130411 0.476 decision-tree
1 130411 test 140829 0.5286 random-forest
1 140829 test 130411 0.5055 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5321
1 130411 test 130411 0.8084 validation
1 150416 test 150416 0.715 validation
1 130411 test 150416 0.3706 no-mapping
1 150416 test 130411 0.0456 no-mapping
1 130411 test 150416 0.6306 linear-transformation
1 150416 test 130411 0.6621 linear-transformation
1 130411 test 150416 0.6379 affine-transformation
1 150416 test 130411 0.6597 affine-transformation
1 130411 test 150416 0.4848 decision-tree
1 150416 test 130411 0.4464 decision-tree
1 130411 test 150416 0.514 random-forest
1 150416 test 130411 0.4809 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5439
1 130411 test 130411 0.8084 validation
1 150602 test 150602 0.7383 validation
1 130411 test 150602 0.356 no-mapping
1 150602 test 130411 0.1319 no-mapping
1 130411 test 150602 0.6343 linear-transformation
1 150602 test 130411 0.6745 linear-transformation
1 130411 test 150602 0.6318 affine-transformation
1 150602 test 130411 0.6794 affine-transformation
1 130411 test 150602 0.4982 decision-tree
1 150602 test 130411 0.4649 decision-tree
1 130411 test 150602 0.5152 random-forest
1 150602 test 130411 0.5068 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5487
1 130411 test 130411 0.8028 validation
1 150824 test 150824 0.8028 validation
1 130411 test 150824 0.3822 no-mapping
1 150824 test 130411 0.0837 no-mapping
1 130411 test 150824 0.641 linear-transformation
1 150824 test 130411 0.6379 linear-transformation
1 130411 test 150824 0.6374 affine-transformation
1 150824 test 130411 0.6379 affine-transformation
1 130411 test 150824 0.4921 decision-tree
1 150824 test 130411 0.4507 decision-tree
1 130411 test 150824 0.5153 random-forest
1 150824 test 130411 0.5 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5060
1 130606 test 130606 0.732 validation
1 131125 test 131125 0.7423 validation
1 130606 test 131125 0.3448 no-mapping
1 131125 test 130606 0.1216 no-mapping
1 130606 test 131125 0.6156 linear-transformation
1 131125 test 130606 0.5915 linear-transformation
1 130606 test 131125 0.6169 affine-transformation
